Date,Price
27-11-2019,58.12
29-11-2019,58.12
02-12-2019,55.97
03-12-2019,56.15
04-12-2019,58.46
05-12-2019,58.42
06-12-2019,59.2
09-12-2019,58.99
10-12-2019,59.22
11-12-2019,58.74
12-12-2019,59.18
13-12-2019,60.11
16-12-2019,60.21
17-12-2019,60.88
18-12-2019,60.93
19-12-2019,61.3
20-12-2019,60.43
23-12-2019,60.51
24-12-2019,61.17
26-12-2019,61.72
27-12-2019,61.76
30-12-2019,61.66
31-12-2019,61.14
02-01-2020,61.17
03-01-2020,63
06-01-2020,63.27
07-01-2020,62.7
08-01-2020,59.65
09-01-2020,59.56
10-01-2020,59.02
13-01-2020,58.17
14-01-2020,58.34
15-01-2020,57.86
16-01-2020,58.52
17-01-2020,58.55
21-01-2020,58.25
22-01-2020,56.76
23-01-2020,55.51
24-01-2020,54.09
27-01-2020,53.09
28-01-2020,53.33
